year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean
2020,March,3,11,Punjab,Sheikhupura,2,0,16.135714285714286,68.16285714285713,47.39,2.922857142857143
2020,March,3,12,Punjab,Sheikhupura,2,0,20.505714285714284,67.35571428571428,0.24000000000000002,2.12
2020,March,3,9,Punjab,Kasur,2,0,19.14428571428571,57.56,8.49,2.992857142857143
2020,March,3,10,Punjab,Kasur,2,0,17.692857142857143,68.87142857142858,41.849999999999994,2.5385714285714287
2020,March,3,11,Punjab,Kasur,2,0,16.88714285714286,63.315714285714286,32.89,3.0985714285714283
2020,March,3,12,Punjab,Kasur,1,0,21.094285714285714,61.13,0.22,2.3328571428571427
2020,March,3,9,Punjab,Sialkot,2,0,17.33857142857143,69.89857142857143,51.089999999999996,2.31
2020,March,3,10,Punjab,Sialkot,2,0,16.244285714285716,79.0,76.49,2.751428571428572
2020,March,3,11,Punjab,Sialkot,2,0,15.732857142857142,71.27285714285715,50.480000000000004,2.835714285714286
2020,March,3,12,Punjab,Sialkot,2,0,19.46857142857143,73.84857142857142,1.27,2.02
2020,March,3,9,Punjab,Sargodha,2,0,18.57,65.75857142857143,90.89999999999999,2.902857142857143
2020,March,3,10,Punjab,Sargodha,2,0,17.17142857142857,74.59714285714286,58.92,2.6571428571428575
2020,March,3,11,Punjab,Sargodha,2,0,15.564285714285713,71.78571428571429,95.69,2.8442857142857143
2020,March,3,12,Punjab,Sargodha,1,0,19.990000000000002,74.13714285714286,2.62,2.09
2020,March,3,9,Punjab,Bahawalpur,1,0,21.674285714285713,42.83857142857143,4.28,3.1157142857142857
2020,March,3,10,Punjab,Bahawalpur,2,0,19.65142857142857,60.11,65.33,2.162857142857143
2020,March,3,11,Punjab,Bahawalpur,2,0,17.208571428571428,67.25,101.17,2.6385714285714283
2020,March,3,12,Punjab,Bahawalpur,1,0,21.487142857142857,62.642857142857146,5.0,2.3285714285714287
2020,March,3,9,Punjab,Jhang,2,0,19.162857142857142,59.79714285714285,29.78,2.71
2020,March,3,10,Punjab,Jhang,2,0,17.63714285714286,70.63285714285715,55.42,2.585714285714286
2020,March,3,11,Punjab,Jhang,2,0,16.037142857142857,70.15285714285714,110.71,2.587142857142857
2020,March,3,12,Punjab,Jhang,1,0,20.264285714285712,70.81142857142858,1.62,2.182857142857143
2020,March,3,9,Punjab,Gujrat,1,0,17.33857142857143,69.89857142857143,51.089999999999996,2.31
2020,March,3,10,Punjab,Gujrat,2,0,16.244285714285716,79.0,76.49,2.751428571428572
2020,March,3,11,Punjab,Gujrat,2,0,15.732857142857142,71.27285714285715,50.480000000000004,2.835714285714286
2020,March,3,12,Punjab,Gujrat,1,0,19.46857142857143,73.84857142857142,1.27,2.02
2020,March,3,9,Punjab,Rahim Yar Khan,2,0,22.835714285714285,38.58142857142857,16.259999999999998,3.6142857142857143
2020,March,3,10,Punjab,Rahim Yar Khan,2,1,20.54,54.637142857142855,33.61,2.5242857142857145
2020,March,3,11,Punjab,Rahim Yar Khan,2,0,18.414285714285715,58.12285714285714,31.28,2.9614285714285713
2020,March,3,12,Punjab,Rahim Yar Khan,1,0,23.889999999999997,51.61571428571428,10.190000000000001,2.8299999999999996
2020,March,3,9,Punjab,Sahiwal,1,0,20.481428571428573,49.924285714285716,6.01,2.7014285714285715
2020,March,3,10,Punjab,Sahiwal,2,0,18.755714285714284,62.75142857142857,46.660000000000004,2.2357142857142858
2020,March,3,11,Punjab,Sahiwal,1,0,17.044285714285714,65.52714285714286,100.38000000000001,2.892857142857143
2020,March,3,12,Punjab,Sahiwal,1,0,21.46,62.074285714285715,1.18,2.045714285714286
2020,March,3,9,Punjab,Okara,1,0,19.517142857142858,56.16571428571428,9.129999999999999,2.817142857142857
2020,March,3,10,Punjab,Okara,2,0,17.779999999999998,67.64142857142858,44.2,2.5471428571428576
2020,March,3,11,Punjab,Okara,1,0,16.827142857142857,64.42714285714285,52.16,2.9757142857142855
2020,March,3,12,Punjab,Okara,1,0,21.267142857142858,61.91428571428571,0.17,2.117142857142857
2020,March,3,9,Punjab,Narowal,1,0,17.44857142857143,68.31428571428572,18.45,2.4014285714285712
2020,March,3,10,Punjab,Narowal,2,0,16.704285714285714,75.67,53.26,2.6314285714285717
2020,March,3,11,Punjab,Narowal,1,0,16.084285714285716,70.19000000000001,48.33,2.967142857142857
2020,March,3,12,Punjab,Narowal,1,0,19.34,73.55,0.93,2.0885714285714285
2020,March,3,9,Punjab,Hafizabad,1,0,18.105714285714285,66.43857142857142,53.79,2.584285714285714
2020,March,3,10,Punjab,Hafizabad,2,0,16.49142857142857,77.90285714285713,66.52,2.6957142857142857
2020,March,3,11,Punjab,Hafizabad,1,0,15.595714285714285,71.94857142857143,46.190000000000005,2.7985714285714285
2020,March,3,12,Punjab,Hafizabad,1,0,19.745714285714286,73.63714285714286,0.73,2.0171428571428573
2020,March,3,9,Punjab,Mandi Bahauddin,1,0,17.461428571428574,71.53857142857143,123.93,2.3514285714285714
2020,March,3,10,Punjab,Mandi Bahauddin,1,0,16.085714285714285,80.89999999999999,82.53,2.7842857142857143
2020,March,3,11,Punjab,Mandi Bahauddin,1,0,15.387142857142859,72.35142857142857,61.730000000000004,2.8957142857142855
2020,March,3,12,Punjab,Mandi Bahauddin,1,0,19.525714285714287,75.37571428571428,2.27,2.07
2020,March,3,9,Punjab,Pakpattan,1,0,20.481428571428573,49.924285714285716,6.01,2.7014285714285715
2020,March,3,10,Punjab,Pakpattan,1,0,18.755714285714284,62.75142857142857,46.660000000000004,2.2357142857142858
2020,March,3,11,Punjab,Pakpattan,1,0,17.044285714285714,65.52714285714286,100.38000000000001,2.892857142857143
2020,March,3,12,Punjab,Pakpattan,1,0,21.46,62.074285714285715,1.18,2.045714285714286
2020,March,3,9,Punjab,Chiniot,1,0,19.099999999999998,59.44428571428572,30.89,2.7857142857142856
2020,March,3,10,Punjab,Chiniot,2,0,17.327142857142857,71.48,51.690000000000005,2.757142857142857
2020,March,3,11,Punjab,Chiniot,1,0,16.054285714285715,69.73714285714286,82.95,2.7271428571428573
2020,March,3,12,Punjab,Chiniot,1,0,20.35571428571429,69.97285714285714,0.9600000000000001,2.012857142857143
2020,March,3,9,Punjab,Khushab,1,0,17.065714285714286,70.4057142857143,213.12,2.6614285714285715
2020,March,3,10,Punjab,Khushab,1,0,15.372857142857143,80.03857142857143,64.94,2.7600000000000002
2020,March,3,11,Punjab,Khushab,1,0,13.965714285714286,73.15857142857143,100.24000000000001,2.96
2020,March,3,12,Punjab,Khushab,0,0,18.672857142857143,75.03142857142858,5.08,1.94
2020,March,3,9,Punjab,Bhakkar,1,0,19.509999999999998,57.30571428571428,28.75,3.0742857142857143
2020,March,3,10,Punjab,Bhakkar,1,0,17.97714285714286,67.44142857142857,52.550000000000004,2.7014285714285715
2020,March,3,11,Punjab,Bhakkar,1,0,16.094285714285714,67.00142857142858,145.22,2.705714285714286
2020,March,3,12,Punjab,Bhakkar,1,0,21.255714285714284,63.47571428571428,5.99,2.117142857142857
2020,March,3,9,Punjab,Layyah,1,0,20.21857142857143,52.31714285714286,25.189999999999998,3.1285714285714286
2020,March,3,10,Punjab,Layyah,1,0,18.167142857142856,66.54,66.88,2.8642857142857143
2020,March,3,11,Punjab,Layyah,1,0,16.37142857142857,67.36857142857143,208.24,2.8728571428571428
2020,March,3,12,Punjab,Layyah,0,0,21.3,63.848571428571425,7.119999999999999,2.2814285714285716
2020,March,3,9,Punjab,Muzaffargarh,2,0,21.41142857142857,45.462857142857146,22.28,3.182857142857143
2020,March,3,10,Punjab,Muzaffargarh,2,0,18.725714285714286,66.95285714285714,84.55,2.662857142857143
2020,March,3,11,Punjab,Muzaffargarh,2,0,16.48857142857143,71.73714285714286,219.35999999999999,2.7457142857142856
2020,March,3,12,Punjab,Muzaffargarh,2,0,20.66857142857143,69.92857142857143,10.31,2.1814285714285715
2020,March,3,9,Punjab,Lodhran,1,0,21.674285714285713,42.83857142857143,4.28,3.1157142857142857
2020,March,3,10,Punjab,Lodhran,1,0,19.65142857142857,60.11,65.33,2.162857142857143
2020,March,3,11,Punjab,Lodhran,1,0,17.208571428571428,67.25,101.17,2.6385714285714283
2020,March,3,12,Punjab,Lodhran,1,0,21.487142857142857,62.642857142857146,5.0,2.3285714285714287
2020,March,3,9,Punjab,Vehari,1,0,21.012857142857143,45.699999999999996,3.48,2.912857142857143
2020,March,3,10,Punjab,Vehari,2,0,19.312857142857144,60.9,51.82,2.222857142857143
2020,March,3,11,Punjab,Vehari,1,0,17.12,67.32285714285715,96.25,2.7642857142857147
2020,March,3,12,Punjab,Vehari,1,0,21.34857142857143,64.16714285714286,2.23,2.164285714285714
2020,March,3,9,Punjab,Khanewal,1,0,20.602857142857143,49.80714285714286,11.030000000000001,3.184285714285714
2020,March,3,10,Punjab,Khanewal,2,0,18.7,67.32285714285715,68.22,2.125714285714286
2020,March,3,11,Punjab,Khanewal,2,0,16.677142857142858,70.45571428571428,212.78,2.4642857142857144
2020,March,3,12,Punjab,Khanewal,1,0,20.47142857142857,70.67285714285714,3.74,2.315714285714286
2020,March,3,9,Punjab,Toba Tek Singh,1,0,19.93857142857143,53.635714285714286,11.94,2.8714285714285714
2020,March,3,10,Punjab,Toba Tek Singh,2,0,18.28,66.87428571428572,53.93,2.355714285714286
2020,March,3,11,Punjab,Toba Tek Singh,1,0,16.7,67.49857142857142,127.83,2.6114285714285717
2020,March,3,12,Punjab,Toba Tek Singh,1,0,20.875714285714285,66.05999999999999,1.48,2.18
2020,March,3,9,Punjab,Nankana Sahib,1,0,18.83142857142857,60.51428571428572,21.32,2.837142857142857
2020,March,3,10,Punjab,Nankana Sahib,2,0,17.104285714285716,72.54285714285714,53.31999999999999,2.6228571428571428
2020,March,3,11,Punjab,Nankana Sahib,1,0,16.135714285714286,68.16285714285713,47.39,2.922857142857143
2020,March,3,12,Punjab,Nankana Sahib,1,0,20.505714285714284,67.35571428571428,0.24000000000000002,2.12
2020,March,3,9,Punjab,Attock,1,0,16.697142857142858,70.9,392.97,1.7714285714285716
2020,March,3,10,Punjab,Attock,1,0,14.307142857142859,81.03714285714285,141.60999999999999,2.5500000000000003
2020,March,3,11,Punjab,Attock,1,0,14.074285714285713,70.0957142857143,126.04,2.13
2020,March,3,12,Punjab,Attock,1,0,18.30857142857143,74.10714285714286,22.38,1.7128571428571429
2020,March,3,9,Punjab,Chakwal,1,0,16.385714285714283,74.21000000000001,397.88,2.237142857142857
2020,March,3,10,Punjab,Chakwal,1,0,14.601428571428572,84.37142857142858,91.95,3.011428571428571
2020,March,3,11,Punjab,Chakwal,1,0,13.635714285714286,74.08142857142857,137.38,3.0100000000000002
2020,March,3,12,Punjab,Chakwal,1,0,18.139999999999997,76.9742857142857,9.0,1.94
2020,March,3,9,Punjab,Jhelum,1,0,17.234285714285715,69.64857142857143,225.0,2.3328571428571427
2020,March,3,10,Punjab,Jhelum,1,0,15.530000000000001,80.24714285714286,95.64,3.255714285714286
2020,March,3,11,Punjab,Jhelum,1,0,15.305714285714286,68.43857142857142,89.48,2.85
2020,March,3,12,Punjab,Jhelum,1,0,19.23857142857143,72.82714285714285,5.58,2.1785714285714284
2020,March,3,9,Punjab,Mianwali,1,0,17.825714285714287,68.56142857142858,109.36,2.8771428571428572
2020,March,3,10,Punjab,Mianwali,1,0,16.16142857142857,75.26,46.92,3.0142857142857147
2020,March,3,11,Punjab,Mianwali,1,0,14.571428571428571,71.34,90.48,2.6185714285714288
2020,March,3,12,Punjab,Mianwali,0,0,19.324285714285715,73.45,7.88,2.064285714285714
2020,March,3,9,Punjab,D.G. Khan,1,0,21.06142857142857,44.36,58.69,3.744285714285714
2020,March,3,10,Punjab,D.G. Khan,2,0,17.987142857142857,63.604285714285716,106.63000000000001,3.084285714285714
2020,March,3,11,Punjab,D.G. Khan,2,0,15.824285714285717,68.96714285714286,190.80999999999997,3.067142857142857
2020,March,3,12,Punjab,D.G. Khan,1,0,20.858571428571427,64.66571428571429,26.21,2.7642857142857147
2020,March,3,9,Punjab,Rajanpur,1,0,22.28142857142857,40.76571428571429,24.89,3.62
2020,March,3,10,Punjab,Rajanpur,2,0,19.804285714285715,60.80571428571428,57.44,2.4414285714285713
2020,March,3,11,Punjab,Rajanpur,1,0,17.474285714285713,66.05714285714285,68.1,2.792857142857143
2020,March,3,12,Punjab,Rajanpur,1,0,22.542857142857144,58.9,13.79,2.404285714285714
