year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean,month_sin,month_cos,week_sin,week_cos,t1_cases,t2_cases,T2M_lag1,PRECTOTCORR_lag1,PRECTOTCORR_lag2,water_proxy
2017,February,2,8,Punjab,sheikhupura,2,0,17.802857142857142,36.49142857142857,0.07,2.8628571428571425,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,3.0,4.0,19.06428571428572,0.01,0.01,0.08
2017,February,2,8,Punjab,sialkot,2,0,16.987142857142857,47.87857142857143,6.54,3.16,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,3.0,3.0,18.95,2.45,0.75,8.990000000000014
2017,February,2,8,Punjab,toba tek singh,1,0,18.47142857142857,27.74714285714285,0.0,2.501428571428572,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,19.86142857142857,0.0,0.0,0.0
2017,February,2,8,Punjab,vehari,2,0,19.34,19.928571428571427,0.0,2.565714285714286,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,2.0,2.0,21.375714285714285,0.0,0.0,0.0
2017,March,3,9,Punjab,attock,1,0,16.444285714285716,47.41285714285714,34.150000000000006,1.8485714285714283,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,2.0,15.741428571428573,0.92,12.83,35.07000000000001
2017,March,3,9,Punjab,bahawalnagar,1,0,20.647142857142857,24.89428571428571,1.2,2.2385714285714284,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,2.0,19.672857142857143,0.0,0.0,1.1999999999999964
2017,March,3,9,Punjab,bahawalpur,1,0,21.228571428571428,24.365714285714287,1.45,2.1928571428571426,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,2.0,2.0,19.73428571428571,0.0,0.0,1.45
2017,March,3,9,Punjab,bhakkar,1,0,18.978571428571428,36.41428571428572,2.22,2.321428571428572,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,1.0,17.884285714285713,0.01,0.11,2.2300000000000035
2017,March,3,9,Punjab,chakwal,1,0,15.675714285714289,49.41,28.44,2.9514285714285715,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,1.0,15.047142857142855,0.3999999999999999,1.93,28.839999999999993
2017,March,3,9,Punjab,chiniot,1,0,19.38,35.644285714285715,2.27,2.007142857142857,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,2.0,18.15571428571429,0.0,0.0,2.269999999999993
2017,March,3,9,Punjab,d.g. khan,1,0,20.472857142857144,25.175714285714285,3.3,2.744285714285714,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,2.0,2.0,19.398571428571422,0.0,0.03,3.2999999999999963
2017,March,3,9,Punjab,faisalabad,3,0,19.38,35.644285714285715,2.27,2.007142857142857,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,3.0,5.0,18.15571428571429,0.0,0.0,2.269999999999993
2017,March,3,9,Punjab,gujranwala,2,0,17.95714285714286,44.184285714285714,0.94,2.84,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,3.0,4.0,16.985714285714288,2.26,0.56,3.1999999999999997
